Date,Open,High,Low,Close,Adj Close,Volume
2020-07-01,0.208520,0.218198,0.207699,0.214370,0.214370,19987708
2020-07-02,0.214368,0.217793,0.203937,0.207202,0.207202,24088543
2020-07-03,0.207124,0.208019,0.203200,0.203974,0.203974,18788671
2020-07-04,0.203936,0.217720,0.203591,0.217210,0.217210,22962550
2020-07-05,0.217301,0.219258,0.209796,0.215142,0.215142,21720266
2020-07-06,0.215142,0.231058,0.215142,0.228540,0.228540,34005170
2020-07-07,0.228608,0.235500,0.222608,0.232496,0.232496,28795350
2020-07-08,0.232496,0.251114,0.230458,0.246869,0.246869,39878814
2020-07-09,0.246869,0.253832,0.235513,0.242524,0.242524,41951827
2020-07-10,0.242019,0.251699,0.230231,0.249944,0.249944,34658190
2020-07-11,0.249936,0.293252,0.249382,0.279883,0.279883,97654539
2020-07-12,0.279884,0.285427,0.263374,0.279149,0.279149,48952586
2020-07-13,0.279149,0.289811,0.262073,0.265905,0.265905,61304601
2020-07-14,0.265905,0.276285,0.252958,0.272282,0.272282,47664473
2020-07-15,0.272188,0.291240,0.261317,0.288032,0.288032,58034540
2020-07-16,0.287913,0.359006,0.266296,0.352240,0.352240,207333074
2020-07-17,0.354309,0.380943,0.332962,0.346839,0.346839,146141038
2020-07-18,0.346432,0.363014,0.332252,0.355003,0.355003,65071045
2020-07-19,0.355333,0.394619,0.340890,0.388201,0.388201,73970160
2020-07-20,0.388310,0.393660,0.344273,0.359709,0.359709,103494709
2020-07-21,0.358133,0.369685,0.339099,0.345399,0.345399,78305897
2020-07-22,0.345599,0.356877,0.344366,0.346089,0.346089,50305323
2020-07-23,0.346038,0.349094,0.325940,0.328696,0.328696,53781716
2020-07-24,0.328756,0.330305,0.311320,0.311912,0.311912,41895273
2020-07-25,0.312185,0.336199,0.311433,0.319127,0.319127,46361293
2020-07-26,0.319054,0.330740,0.306387,0.320547,0.320547,52223639
2020-07-27,0.320547,0.323266,0.271740,0.287449,0.287449,85347338
2020-07-28,0.287536,0.315914,0.277685,0.313289,0.313289,62403459
2020-07-29,0.313938,0.326913,0.307597,0.308854,0.308854,50534906
2020-07-30,0.308896,0.346613,0.305958,0.333733,0.333733,138288081
2020-07-31,0.334140,0.351718,0.315884,0.325342,0.325342,75002381
2020-08-01,0.325342,0.333831,0.319960,0.326553,0.326553,58184980
2020-08-02,0.326107,0.334075,0.285208,0.301198,0.301198,57456906
2020-08-03,0.301198,0.321355,0.298709,0.309632,0.309632,35563711
2020-08-04,0.309632,0.330702,0.309604,0.326361,0.326361,36437559
2020-08-05,0.326469,0.345461,0.322232,0.336210,0.336210,59452182
2020-08-06,0.336021,0.373365,0.334821,0.363978,0.363978,80849804
2020-08-07,0.363983,0.379649,0.342284,0.369858,0.369858,65591141
2020-08-08,0.369950,0.458999,0.369525,0.451361,0.451361,128587701
